periodbin,radiusbin,GAMMA_YIELD,GAMMA_YIELD_upper,GAMMA_YIELD_lower,MONO_GAMMA_YIELD,MONO_GAMMA_YIELD_upper,MONO_GAMMA_YIELD_lower,DUO_GAMMA_YIELD,DUO_GAMMA_YIELD_upper,DUO_GAMMA_YIELD_lower,TRIO_GAMMA_YIELD,TRIO_GAMMA_YIELD_upper,TRIO_GAMMA_YIELD_lower,MULTI_GAMMA_YIELD,MULTI_GAMMA_YIELD_upper,MULTI_GAMMA_YIELD_lower,TSM_CUTOFF_GAMMA_YIELD,TSM_CUTOFF_GAMMA_YIELD_upper,TSM_CUTOFF_GAMMA_YIELD_lower,THR_7-3_YIELD,THR_7-3_YIELD_upper,THR_7-3_YIELD_lower,MONO_THR_7-3_YIELD,MONO_THR_7-3_YIELD_upper,MONO_THR_7-3_YIELD_lower,DUO_THR_7-3_YIELD,DUO_THR_7-3_YIELD_upper,DUO_THR_7-3_YIELD_lower,TRIO_THR_7-3_YIELD,TRIO_THR_7-3_YIELD_upper,TRIO_THR_7-3_YIELD_lower,MULTI_THR_7-3_YIELD,MULTI_THR_7-3_YIELD_upper,MULTI_THR_7-3_YIELD_lower,TSM_CUTOFF_THR_7-3_YIELD,TSM_CUTOFF_THR_7-3_YIELD_upper,TSM_CUTOFF_THR_7-3_YIELD_lower,THR_20_YIELD,THR_20_YIELD_upper,THR_20_YIELD_lower,MONO_THR_20_YIELD,MONO_THR_20_YIELD_upper,MONO_THR_20_YIELD_lower,DUO_THR_20_YIELD,DUO_THR_20_YIELD_upper,DUO_THR_20_YIELD_lower,TRIO_THR_20_YIELD,TRIO_THR_20_YIELD_upper,TRIO_THR_20_YIELD_lower,MULTI_THR_20_YIELD,MULTI_THR_20_YIELD_upper,MULTI_THR_20_YIELD_lower,TSM_CUTOFF_THR_20_YIELD,TSM_CUTOFF_THR_20_YIELD_upper,TSM_CUTOFF_THR_20_YIELD_lower
"(1.56, 3.13]","(0.5, 0.71]",0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1.56, 3.13]","(0.71, 1.0]",0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1.56, 3.13]","(1.0, 1.41]",0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1.56, 3.13]","(1.41, 2.0]",6.0,2.0,2.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,6.0,2.0,2.0,0.0,0.0,0.0,9.0,4.0,3.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,9.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1.56, 3.13]","(2.0, 2.83]",8.0,5.0,4.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,8.0,5.0,4.0,0.0,0.0,0.0,11.0,9.0,6.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,11.0,9.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0
"(1.56, 3.13]","(2.83, 4.0]",11.0,10.0,8.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,11.0,10.0,8.0,0.0,1.0,0.0,16.0,14.0,10.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,16.0,14.0,10.0,1.0,0.0,0.0,3.0,3.0,2.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,1.0,0.0
"(1.56, 3.13]","(4.0, 5.66]",0.0,21.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,1.0,0.0
"(1.56, 3.13]","(5.66, 8.0]",0.0,21.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,21.0,0.0,0.0,4.0,0.0,0.0,24.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,24.0,0.0,0.0,5.0,0.0,0.0,18.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,18.0,0.0,0.0,5.0,0.0
"(1.56, 3.13]","(8.0, 11.31]",0.0,27.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,27.0,0.0,0.0,13.0,0.0,0.0,31.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,31.0,0.0,0.0,15.0,0.0,0.0,27.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,27.0,0.0,0.0,15.0,0.0
"(1.56, 3.13]","(11.31, 16.0]",22.0,21.0,13.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,22.0,21.0,13.0,18.0,16.0,10.0,25.0,24.0,15.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,25.0,24.0,15.0,20.0,18.0,12.0,24.0,22.0,13.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,24.0,22.0,13.0,20.0,18.0,11.0
"(3.13, 6.25]","(0.5, 0.71]",0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3.13, 6.25]","(0.71, 1.0]",0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3.13, 6.25]","(1.0, 1.41]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3.13, 6.25]","(1.41, 2.0]",8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,13.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3.13, 6.25]","(2.0, 2.83]",25.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,6.0,0.0,1.0,0.0,39.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,12.0,11.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0
"(3.13, 6.25]","(2.83, 4.0]",17.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,10.0,10.0,1.0,0.0,0.0,25.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,14.0,14.0,1.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0
"(3.13, 6.25]","(4.0, 5.66]",18.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,15.0,11.0,0.0,1.0,0.0,25.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,23.0,20.0,15.0,1.0,1.0,0.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.0,1.0,1.0,0.0
"(3.13, 6.25]","(5.66, 8.0]",20.0,22.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,19.0,12.0,2.0,3.0,2.0,26.0,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,23.0,23.0,15.0,3.0,3.0,2.0,16.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,14.0,9.0,3.0,3.0,2.0
"(3.13, 6.25]","(8.0, 11.31]",21.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.0,17.0,11.0,7.0,7.0,5.0,26.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,24.0,21.0,13.0,9.0,8.0,5.0,23.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,21.0,19.0,12.0,9.0,8.0,5.0
"(3.13, 6.25]","(11.31, 16.0]",0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,15.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,26.0,0.0,0.0,19.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,0.0,0.0,19.0,0.0
"(6.25, 12.5]","(0.5, 0.71]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(6.25, 12.5]","(0.71, 1.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(6.25, 12.5]","(1.0, 1.41]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(6.25, 12.5]","(1.41, 2.0]",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(6.25, 12.5]","(2.0, 2.83]",30.0,5.0,5.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,1.0,0.0,21.0,4.0,4.0,0.0,0.0,0.0,51.0,10.0,9.0,0.0,0.0,0.0,8.0,2.0,2.0,8.0,2.0,2.0,33.0,6.0,6.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0
"(6.25, 12.5]","(2.83, 4.0]",4.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,7.0,9.0,6.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"(6.25, 12.5]","(4.0, 5.66]",11.0,11.0,8.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0,5.0,4.0,0.0,0.0,0.0,19.0,16.0,11.0,0.0,0.0,0.0,6.0,6.0,4.0,4.0,4.0,3.0,7.0,7.0,5.0,0.0,0.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0
"(6.25, 12.5]","(5.66, 8.0]",0.0,24.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,8.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0
"(6.25, 12.5]","(8.0, 11.31]",23.0,19.0,13.0,0.0,1.0,0.0,8.0,7.0,5.0,5.0,5.0,3.0,8.0,7.0,5.0,5.0,4.0,3.0,34.0,27.0,19.0,1.0,2.0,1.0,13.0,11.0,8.0,8.0,6.0,4.0,10.0,9.0,6.0,7.0,6.0,4.0,28.0,22.0,15.0,1.0,0.0,0.0,10.0,8.0,6.0,6.0,6.0,4.0,9.0,8.0,6.0,7.0,6.0,4.0
"(6.25, 12.5]","(11.31, 16.0]",0.0,27.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,14.0,0.0,0.0,39.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,9.0,0.0,0.0,12.0,0.0,0.0,20.0,0.0,0.0,37.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,9.0,0.0,0.0,11.0,0.0,0.0,20.0,0.0
"(12.5, 25.0]","(0.5, 0.71]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
"(12.5, 25.0]","(0.71, 1.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(12.5, 25.0]","(1.0, 1.41]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(12.5, 25.0]","(1.41, 2.0]",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(12.5, 25.0]","(2.0, 2.83]",17.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,33.0,6.0,5.0,4.0,1.0,1.0,10.0,2.0,2.0,3.0,0.0,0.0,14.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"(12.5, 25.0]","(2.83, 4.0]",12.0,7.0,6.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,23.0,13.0,11.0,5.0,3.0,2.0,9.0,5.0,4.0,2.0,1.0,1.0,6.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
"(12.5, 25.0]","(4.0, 5.66]",9.0,8.0,5.0,2.0,2.0,1.0,3.0,4.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,16.0,16.0,11.0,5.0,5.0,3.0,7.0,7.0,5.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
"(12.5, 25.0]","(5.66, 8.0]",17.0,11.0,9.0,5.0,4.0,4.0,7.0,5.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,29.0,19.0,17.0,11.0,8.0,7.0,12.0,8.0,7.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,12.0,9.0,8.0,3.0,2.0,2.0,5.0,4.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0
"(12.5, 25.0]","(8.0, 11.31]",0.0,15.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,19.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
"(12.5, 25.0]","(11.31, 16.0]",12.0,11.0,8.0,4.0,5.0,3.0,5.0,4.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,4.0,2.0,20.0,18.0,12.0,8.0,8.0,6.0,8.0,7.0,5.0,1.0,1.0,0.0,1.0,3.0,3.0,6.0,6.0,4.0,18.0,17.0,11.0,7.0,9.0,6.0,7.0,7.0,5.0,1.0,1.0,0.0,1.0,2.0,2.0,6.0,6.0,4.0
"(25.0, 50.0]","(0.5, 0.71]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(25.0, 50.0]","(0.71, 1.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
