periodbin,radiusbin,GAMMA_YIELD,GAMMA_YIELD_upper,GAMMA_YIELD_lower,MONO_GAMMA_YIELD,MONO_GAMMA_YIELD_upper,MONO_GAMMA_YIELD_lower,DUO_GAMMA_YIELD,DUO_GAMMA_YIELD_upper,DUO_GAMMA_YIELD_lower,TRIO_GAMMA_YIELD,TRIO_GAMMA_YIELD_upper,TRIO_GAMMA_YIELD_lower,MULTI_GAMMA_YIELD,MULTI_GAMMA_YIELD_upper,MULTI_GAMMA_YIELD_lower,TSM_CUTOFF_GAMMA_YIELD,TSM_CUTOFF_GAMMA_YIELD_upper,TSM_CUTOFF_GAMMA_YIELD_lower,THR_7-3_YIELD,THR_7-3_YIELD_upper,THR_7-3_YIELD_lower,MONO_THR_7-3_YIELD,MONO_THR_7-3_YIELD_upper,MONO_THR_7-3_YIELD_lower,DUO_THR_7-3_YIELD,DUO_THR_7-3_YIELD_upper,DUO_THR_7-3_YIELD_lower,TRIO_THR_7-3_YIELD,TRIO_THR_7-3_YIELD_upper,TRIO_THR_7-3_YIELD_lower,MULTI_THR_7-3_YIELD,MULTI_THR_7-3_YIELD_upper,MULTI_THR_7-3_YIELD_lower,TSM_CUTOFF_THR_7-3_YIELD,TSM_CUTOFF_THR_7-3_YIELD_upper,TSM_CUTOFF_THR_7-3_YIELD_lower,THR_20_YIELD,THR_20_YIELD_upper,THR_20_YIELD_lower,MONO_THR_20_YIELD,MONO_THR_20_YIELD_upper,MONO_THR_20_YIELD_lower,DUO_THR_20_YIELD,DUO_THR_20_YIELD_upper,DUO_THR_20_YIELD_lower,TRIO_THR_20_YIELD,TRIO_THR_20_YIELD_upper,TRIO_THR_20_YIELD_lower,MULTI_THR_20_YIELD,MULTI_THR_20_YIELD_upper,MULTI_THR_20_YIELD_lower,TSM_CUTOFF_THR_20_YIELD,TSM_CUTOFF_THR_20_YIELD_upper,TSM_CUTOFF_THR_20_YIELD_lower,TRUE_DUO_GAMMA_YIELD,TRUE_DUO_GAMMA_YIELD_upper,TRUE_DUO_GAMMA_YIELD_lower,TRUE_DUO_THR_7-3_YIELD,TRUE_DUO_THR_7-3_YIELD_upper,TRUE_DUO_THR_7-3_YIELD_lower,TRUE_DUO_THR_20_YIELD,TRUE_DUO_THR_20_YIELD_upper,TRUE_DUO_THR_20_YIELD_lower
"(3.13, 6.25]","(5.66, 8.0]",64,32,22,0,0,0,0,0,0,2,1,1,59,30,20,5,3,2,85,42,29,0,0,0,0,0,0,5,3,1,78,39,26,6,3,2,38,19,12,0,0,0,0,0,0,0,1,1,34,18,12,6,3,2,0,0,0,0,0,0,0,0,0
"(3.13, 6.25]","(8.0, 11.31]",81,52,31,0,0,0,0,0,0,4,3,2,75,47,28,18,9,6,102,66,39,0,0,0,0,1,1,7,5,3,92,59,35,23,11,7,72,43,27,0,0,0,0,0,0,4,2,1,67,39,25,22,11,7,0,0,0,0,0,0,0,0,0
"(3.13, 6.25]","(11.31, 16.0]",197,72,56,0,0,0,1,0,0,12,5,3,182,66,51,65,26,17,242,87,68,0,0,0,1,1,1,19,7,5,219,79,62,77,33,22,205,76,59,0,0,0,1,0,0,13,5,5,187,69,54,76,32,22,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(0.5, 0.71]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(0.71, 1.0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(1.0, 1.41]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(1.41, 2.0]",5,1,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,10,2,2,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(2.0, 2.83]",48,6,5,0,0,0,4,1,1,5,1,1,35,4,4,0,0,0,85,11,9,0,0,0,11,2,2,11,2,2,57,6,6,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(2.83, 4.0]",29,12,7,0,0,0,2,2,1,2,2,1,20,6,4,0,1,0,53,20,12,0,0,0,9,5,2,8,4,2,29,10,7,1,1,0,6,2,1,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(4.0, 5.66]",34,16,12,0,0,0,6,4,3,5,3,3,16,9,7,0,0,0,56,25,19,0,0,0,15,8,6,11,5,4,25,12,9,0,1,1,12,5,4,0,0,0,1,1,1,0,1,1,5,3,3,0,1,0,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(5.66, 8.0]",24,29,11,0,0,0,5,9,2,4,6,2,11,12,5,0,1,0,39,45,17,0,1,0,11,16,6,8,10,4,17,16,7,0,2,1,10,19,5,0,0,0,1,5,1,1,4,1,5,9,2,0,2,1,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(8.0, 11.31]",73,37,25,0,1,1,23,12,7,15,8,5,29,15,9,10,4,3,112,54,36,3,3,1,41,20,13,26,12,8,36,19,12,14,7,4,68,32,21,1,1,0,20,10,7,14,8,5,26,13,8,14,7,4,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(11.31, 16.0]",110,51,36,2,2,1,35,18,12,25,12,8,42,20,15,22,16,7,159,74,52,6,3,2,60,29,19,37,17,12,52,24,17,32,23,10,120,60,40,3,1,1,40,22,14,27,14,9,46,21,15,31,23,10,0,0,0,0,0,0,0,0,0
"(12.5, 25.0]","(0.5, 0.71]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(12.5, 25.0]","(0.71, 1.0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(12.5, 25.0]","(1.0, 1.41]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(12.5, 25.0]","(1.41, 2.0]",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(12.5, 25.0]","(2.0, 2.83]",29,3,3,1,1,1,6,1,1,1,1,1,16,1,1,0,0,0,58,6,5,6,1,1,16,2,2,4,1,1,26,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(12.5, 25.0]","(2.83, 4.0]",36,9,8,4,1,1,10,2,2,2,1,1,15,4,3,0,0,0,72,17,14,11,3,3,24,6,5,6,1,1,23,5,4,0,1,1,6,1,1,0,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"(12.5, 25.0]","(4.0, 5.66]",19,10,6,2,3,1,5,4,3,0,1,1,5,2,1,0,0,0,36,21,13,10,5,3,14,8,6,1,1,1,6,4,3,0,0,0,5,4,3,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"(12.5, 25.0]","(5.66, 8.0]",40,16,13,11,5,4,16,7,5,2,1,1,6,4,3,0,1,1,72,29,24,23,10,8,28,12,10,3,2,2,8,4,4,1,1,0,24,10,9,4,2,2,9,4,3,1,1,1,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0
"(12.5, 25.0]","(8.0, 11.31]",12,27,8,4,8,2,5,10,3,0,2,1,2,3,1,0,1,1,20,47,15,8,18,5,8,19,6,1,3,1,2,5,2,1,2,0,10,25,7,3,8,2,4,10,3,0,1,1,2,4,1,1,2,0,0,0,0,0,0,0,0,0,0
"(12.5, 25.0]","(11.31, 16.0]",61,26,19,20,10,7,23,11,8,2,2,1,7,4,3,10,5,3,103,43,31,41,18,13,40,17,13,5,3,2,9,4,4,16,7,5,75,33,24,25,13,10,30,13,9,4,2,1,8,4,4,16,7,5,0,0,0,0,0,0,0,0,0
"(25.0, 50.0]","(0.5, 0.71]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(25.0, 50.0]","(0.71, 1.0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(25.0, 50.0]","(1.0, 1.41]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(25.0, 50.0]","(1.41, 2.0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(25.0, 50.0]","(2.0, 2.83]",10,1,1,2,1,1,0,1,1,0,0,0,4,0,0,0,0,0,21,3,3,8,1,1,2,1,1,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(25.0, 50.0]","(2.83, 4.0]",20,5,4,7,3,2,3,0,0,0,0,0,7,1,1,0,0,0,44,11,8,22,5,5,6,1,1,1,0,0,10,2,2,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"(25.0, 50.0]","(4.0, 5.66]",9,5,4,4,4,2,0,1,1,0,0,0,1,1,1,0,0,0,22,11,7,14,7,5,3,1,1,0,0,0,2,1,1,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(25.0, 50.0]","(5.66, 8.0]",19,10,7,13,7,4,1,1,1,0,0,0,1,1,1,0,0,0,39,20,14,28,15,11,4,2,1,0,0,0,1,1,1,0,0,0,12,5,4,7,4,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"(25.0, 50.0]","(8.0, 11.31]",23,22,10,18,16,7,2,3,1,0,0,0,1,1,1,0,1,1,44,39,19,34,31,16,4,4,2,0,0,0,2,1,1,1,1,1,26,21,10,19,16,8,2,3,2,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0
"(25.0, 50.0]","(11.31, 16.0]",37,24,14,27,19,10,4,2,1,0,0,0,2,2,1,2,3,1,67,42,23,53,34,18,7,4,3,0,1,1,3,2,1,4,5,1,45,33,16,33,26,12,5,4,2,0,1,1,3,1,1,4,5,1,0,0,0,0,0,0,0,0,0
"(50.0, 100.0]","(0.5, 0.71]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(50.0, 100.0]","(0.71, 1.0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(50.0, 100.0]","(1.0, 1.41]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(50.0, 100.0]","(1.41, 2.0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(50.0, 100.0]","(2.0, 2.83]",2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(50.0, 100.0]","(2.83, 4.0]",7,3,3,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,18,6,5,12,4,3,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(50.0, 100.0]","(4.0, 5.66]",7,6,3,5,4,1,0,0,0,0,0,0,0,1,1,0,0,0,15,13,5,11,10,5,0,1,1,0,0,0,1,1,1,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(50.0, 100.0]","(5.66, 8.0]",13,7,4,10,6,3,0,0,0,0,0,0,0,1,0,0,0,0,28,15,9,22,13,9,0,1,1,0,1,0,0,1,1,0,0,0,6,4,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(50.0, 100.0]","(8.0, 11.31]",21,11,8,18,8,6,0,0,0,0,0,0,0,1,1,0,0,0,42,19,14,38,16,11,0,1,1,0,1,0,0,1,1,0,0,0,21,10,7,18,7,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"(50.0, 100.0]","(11.31, 16.0]",20,13,7,16,12,6,0,0,0,0,0,0,0,1,1,0,1,0,35,25,13,31,22,11,0,1,1,0,1,0,0,1,1,0,2,1,25,20,9,21,18,7,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"(100.0, 200.0]","(0.5, 0.71]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(100.0, 200.0]","(0.71, 1.0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(100.0, 200.0]","(1.0, 1.41]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(100.0, 200.0]","(1.41, 2.0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(100.0, 200.0]","(2.0, 2.83]",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(100.0, 200.0]","(2.83, 4.0]",2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(100.0, 200.0]","(4.0, 5.66]",3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,5,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(100.0, 200.0]","(5.66, 8.0]",7,4,2,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,14,10,5,11,9,5,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
